	collagen	mean	lower	upper	type	time_min
1	loose	6.53527856217544	6.24425603399085	6.82630109036002	infected	0.5
2	loose	18.1944333941741	17.3537341271495	19.0351326611987	infected	1
3	loose	35.4615797866688	33.8260232140461	37.0971363592915	infected	1.5
4	loose	57.5493831743316	54.8809126841417	60.2178536645214	infected	2
5	loose	84.1763564489762	80.2496738835278	88.1030390144245	infected	2.5
6	loose	114.98505395242	109.613578762015	120.356529142825	infected	3
7	loose	149.4388943266	142.454769965208	156.423018687992	infected	3.5
8	loose	187.747294060487	178.956817802984	196.537770317989	infected	4
9	loose	228.739216413832	217.996506038254	239.481926789411	infected	4.5
10	loose	272.313028925368	259.442278820203	285.183779030533	infected	5
11	loose	319.10144092947	303.877913639582	334.324968219357	infected	5.5
12	loose	369.05114679223	351.262587682362	386.839705902099	infected	6
13	loose	421.811769192371	401.261857420509	442.361680964233	infected	6.5
14	loose	476.62768378191	453.129270650794	500.126096913026	infected	7
15	loose	533.396064310695	506.752206364451	560.039922256938	infected	7.5
16	loose	591.669496144434	561.734818386175	621.604173902693	infected	8
17	loose	651.311994256528	617.933885808854	684.690102704202	infected	8.5
18	loose	712.793422864956	675.765775990521	749.821069739391	infected	9
19	loose	776.064390386207	735.192131422223	816.936649350191	infected	9.5
20	loose	840.391217446568	795.487349565196	885.29508532794	infected	10
21	loose	906.935784326061	857.827628532354	956.043940119768	infected	10.5
22	loose	974.006034722046	920.547632742898	1027.46443670119	infected	11
23	loose	1043.08106723989	985.122394347573	1101.0397401322	infected	11.5
24	loose	1113.31558281634	1050.6326611866	1175.99850444608	infected	12
25	loose	1184.7339917915	1117.09863791036	1252.36934567264	infected	12.5
26	loose	1257.31505575032	1184.57265190937	1330.05745959128	infected	13
27	loose	1329.45486888014	1251.49718261147	1407.4125551488	infected	13.5
28	loose	1402.5961638062	1319.23304884908	1485.95927876332	infected	14
29	loose	1476.28609900932	1387.36790004833	1565.2042979703	infected	14.5
30	loose	1556.24052328662	1461.43327507174	1651.04777150151	infected	15
31	loose	1637.3695828449	1536.44862996229	1738.29053572752	infected	15.5
32	loose	1720.00156768787	1612.72642332842	1827.27671204731	infected	16
33	loose	1802.48428912849	1688.73754434281	1916.23103391416	infected	16.5
34	loose	1884.84732217733	1764.51549513094	2005.17914922373	infected	17
35	loose	1968.22782336911	1841.09171442612	2095.3639323121	infected	17.5
36	loose	2052.85833317903	1918.7516864964	2186.96497986167	infected	18
37	loose	2139.13641262254	1997.74517511023	2280.52765013486	infected	18.5
38	loose	2228.50037059181	2079.49168685165	2377.50905433197	infected	19
39	loose	2319.19695365113	2162.33770914614	2476.05619815613	infected	19.5
40	loose	2408.31374579562	2243.61025399262	2573.01723759861	infected	20
41	loose	2497.87359699731	2325.12623422356	2670.62095977106	infected	20.5
42	loose	2590.66572895062	2409.51898204774	2771.81247585349	infected	21
43	loose	2682.1448930846	2492.57991702327	2871.70986914592	infected	21.5
44	loose	2773.31978251125	2575.19387376404	2971.44569125847	infected	22
45	loose	2865.62180278431	2658.67300618345	3072.57059938518	infected	22.5
46	loose	2957.67780758956	2741.81602646934	3173.53958870978	infected	23
47	loose	3049.72236761406	2824.74211572803	3274.7026195001	infected	23.5
48	loose	3140.0619403298	2906.00346859035	3374.12041206924	infected	24
49	loose	3229.93937405282	2986.62377383074	3473.2549742749	infected	24.5
50	loose	3320.047536463	3067.31660905412	3572.77846387189	infected	25
51	loose	3409.47918219499	3147.22002710146	3671.73833728851	infected	25.5
52	loose	3497.37273089436	3225.54607598236	3769.19938580637	infected	26
53	loose	3580.55549507441	3299.55292032431	3861.55806982452	infected	26.5
54	loose	3663.22970076309	3372.88504155101	3953.57435997517	infected	27
55	loose	3745.34965077654	3445.45530865085	4045.24399290223	infected	27.5
56	loose	3826.79878095349	3517.21744201255	4136.38011989443	infected	28
57	loose	3907.91351133963	3588.64267059352	4227.18435208574	infected	28.5
58	loose	3990.3999185004	3661.05605642711	4319.74378057369	infected	29
59	loose	4072.47433980867	3732.867866158	4412.08081345935	infected	29.5
60	loose	4154.86015133344	3804.79501111574	4504.92529155114	infected	30
61	loose	4237.20922498297	3876.54844416953	4597.8700057964	infected	30.5
62	loose	4317.41151473262	3946.15366107846	4688.66936838677	infected	31
63	loose	4393.73082443471	4012.05307457306	4775.40857429635	infected	31.5
64	loose	4469.41013148502	4077.02878980751	4861.79147316253	infected	32
65	loose	4542.46138035882	4139.5320583738	4945.39070234385	infected	32.5
66	loose	4616.00037312335	4201.93328494232	5030.06746130437	infected	33
67	loose	4685.58241852489	4260.64539463721	5110.51944241257	infected	33.5
68	loose	4751.18901683201	4315.48748859218	5186.89054507185	infected	34
69	loose	4813.12417874168	4366.67956874465	5259.5687887387	infected	34.5
70	loose	4867.10025901916	4410.21889592269	5323.98162211563	infected	35
71	loose	4915.45618470575	4448.36391065092	5382.54845876058	infected	35.5
72	loose	5009.72632910729	4530.32103798864	5489.13162022595	infected	36
73	loose	5103.53800585297	4611.39685657225	5595.6791551337	infected	36.5
74	loose	5197.30303506621	4691.93282246585	5702.67324766656	infected	37
75	loose	5292.1868767436	4773.1454890351	5811.22826445209	infected	37.5
76	loose	5388.12238551296	4854.88441732542	5921.3603537005	infected	38
77	loose	5482.30522079778	4934.48548464754	6030.12495694803	infected	38.5
78	loose	5579.84262288013	5016.9995639001	6142.68568186015	infected	39
79	loose	5678.47158422331	5100.01569470354	6256.92747374307	infected	39.5
80	loose	5781.98893701874	5187.65733329907	6376.32054073841	infected	40
81	loose	5891.48938458354	5280.16725951659	6502.81150965048	infected	40.5
82	loose	6002.7240719217	5373.63552858945	6631.81261525394	infected	41
83	loose	6112.60237709456	5465.3006590674	6759.90409512171	infected	41.5
84	loose	6226.90155624345	5560.09927030784	6893.70384217906	infected	42
85	loose	6347.02984286883	5659.54461870557	7034.5150670321	infected	42.5
86	loose	6473.19196089366	5763.68008652763	7182.70383525969	infected	43
87	loose	6600.00092006799	5867.56264415528	7332.4391959807	infected	43.5
88	loose	6727.3562380854	5970.93479121995	7483.77768495085	infected	44
89	loose	6858.97208412002	6077.18496724497	7640.75920099506	infected	44.5
90	loose	6992.34865445924	6183.83053228311	7800.86677663538	infected	45
91	loose	7129.59971299763	6292.70667888816	7966.4927471071	infected	45.5
92	loose	7265.54692090785	6399.05124408039	8132.04259773531	infected	46
93	loose	7405.8887968207	6507.91288247472	8303.86471116668	infected	46.5
94	loose	7549.91140578138	6618.38727253025	8481.43553903252	infected	47
95	loose	7694.81236433626	6728.24060181647	8661.38412685606	infected	47.5
96	loose	7836.95079594584	6833.79386288476	8840.10772900692	infected	48
97	loose	7979.37348616167	6937.42841750872	9021.31855481463	infected	48.5
98	loose	8121.8423064847	7039.03860621113	9204.64600675827	infected	49
99	loose	8269.09150303047	7142.43293152721	9395.75007453373	infected	49.5
100	loose	8412.96470543316	7240.24749050947	9585.68192035685	infected	50
101	loose	8556.87273935599	7335.23171514969	9778.51376356228	infected	50.5
102	loose	8701.78240515159	7427.54208591796	9976.02272438522	infected	51
103	loose	8845.66388148734	7515.00665887131	10176.3211041034	infected	51.5
104	loose	8997.41394164888	7604.72985446073	10390.098028837	infected	52
105	loose	9142.86799040248	7684.04336216139	10601.6926186436	infected	52.5
106	loose	9275.22431642878	7746.73536448027	10803.7132683773	infected	53
107	loose	9405.91306913646	7801.3137614541	11010.5123768188	infected	53.5
108	loose	9524.60442749956	7838.4591491813	11210.7497058178	infected	54
109	loose	9634.20069161603	7859.27985714259	11409.1215260895	infected	54.5
110	loose	9756.24622768535	7878.4631432207	11634.02931215	infected	55
111	loose	9893.42807505698	7895.37411075056	11891.4820393634	infected	55.5
112	loose	10047.1656668224	7907.99620776822	12186.3351258767	infected	56
113	loose	10197.3804385767	7893.86057339736	12500.9003037561	infected	56.5
114	loose	10351.8413683705	7851.25057853835	12852.4321582027	infected	57
115	loose	10547.7450586072	7794.3914293549	13301.0986878596	infected	57.5
116	loose	10696.6649774986	7636.61362333363	13756.7163316635	infected	58
117	loose	10850.2680861008	7377.79001425843	14322.7461579432	infected	58.5
118	loose	11010.3710962603	6940.506408279	15080.2357842416	infected	59
119	loose	11121.5838143257	6078.25375975346	16164.9138688979	infected	59.5
120	loose	11207.2039526558	3982.46346718612	18431.9444381255	infected	60
