parameterId	parameterName	parameterScale	lowerBound	upperBound	nominalValue	par_map	estimate	objectivePriorType	objectivePriorParameters
k1	k1	log10	1	3	10	./CellTypes/CellType/Constant[@symbol="k1"]	1	parameterScaleUniform	1;3
K_M1	K_M1	log10	-4.09691001300806	-2.09691001300806	0.0008	./CellTypes/CellType/Constant[@symbol="K_M1"]	1	parameterScaleUniform	-4.09691001300806;-2.09691001300806
k2	k2	log10	0	1	2.02	./CellTypes/CellType/Constant[@symbol="k2"]	1	parameterScaleUniform	0;1
K_M2	K_M2	log10	-1.60205999132796	0.397940008672038	0.25	./CellTypes/CellType/Constant[@symbol="K_M2"]	1	parameterScaleUniform	-1.60205999132796;0.397940008672038
k3_0	k3_0	log10	-0.769551078621726	1.23044892137827	1.7	./CellTypes/CellType/Constant[@symbol="k3_0"]	1	parameterScaleUniform	-0.769551078621726;1.23044892137827
k4	k4	log10	-1.72124639904717	0.278753600952829	0.19	./CellTypes/CellType/Constant[@symbol="k4"]	1	parameterScaleUniform	-1.72124639904717;0.278753600952829
k5	k5	log10	1	4	10	./CellTypes/CellType/Constant[@symbol="k5"]	1	parameterScaleUniform	1;4
k6	k6	log10	-1.74472749489669	0.255272505103306	0.18	./CellTypes/CellType/Constant[@symbol="k6"]	1	parameterScaleUniform	-1.74472749489669;0.255272505103306
k7	k7	log10	1	4	10	./CellTypes/CellType/Constant[@symbol="k7"]	1	parameterScaleUniform	1;4
k8	k8	log10	1	4	10	./CellTypes/CellType/Constant[@symbol="k8"]	1	parameterScaleUniform	1;4
k9	k9	log10	-1.76955107862173	0.230448921378274	0.17	./CellTypes/CellType/Constant[@symbol="k9"]	1	parameterScaleUniform	-1.76955107862173;0.230448921378274
k10	k10	log10	-0.744727494896694	1.25527250510331	1.8	./CellTypes/CellType/Constant[@symbol="k10"]	1	parameterScaleUniform	-0.744727494896694;1.25527250510331
k11	k11	log10	0.477121254719662	2.47712125471966	30	./CellTypes/CellType/Constant[@symbol="k11"]	1	parameterScaleUniform	0.477121254719662;2.47712125471966
intensity_normalization_total	intensity_normalization_total	log10	-1	1	1	./CellTypes/CellType/Constant[@symbol="intensity_normalization_total"]	1	parameterScaleUniform	-1;1
